"State","Source","Year","Emissions"
"New South Wales","Energy","1990"," 104,565 "
"New South Wales","Energy","1991"," 103,495 "
"New South Wales","Energy","1992"," 104,686 "
"New South Wales","Energy","1993"," 105,937 "
"New South Wales","Energy","1994"," 103,652 "
"New South Wales","Energy","1995"," 104,934 "
"New South Wales","Energy","1996"," 107,344 "
"New South Wales","Energy","1997"," 110,246 "
"New South Wales","Energy","1998"," 110,989 "
"New South Wales","Energy","1999"," 111,352 "
"New South Wales","Energy","2000"," 113,236 "
"New South Wales","Energy","2001"," 116,171 "
"New South Wales","Energy","2002"," 115,978 "
"New South Wales","Energy","2003"," 115,676 "
"New South Wales","Energy","2004"," 118,636 "
"New South Wales","Energy","2005"," 119,206 "
"New South Wales","Energy","2006"," 122,099 "
"New South Wales","Energy","2007"," 126,486 "
"New South Wales","Energy","2008"," 127,079 "
"New South Wales","Energy","2009"," 124,666 "
"New South Wales","Energy","2010"," 119,847 "
"New South Wales","Energy","2011"," 118,037 "
"New South Wales","Energy","2012"," 116,727 "
"New South Wales","Energy","2013"," 113,611 "
"New South Wales","Energy","2014"," 111,468 "
"New South Wales","Energy","2015"," 109,842 "
"New South Wales","Energy","2016"," 111,963 "
"New South Wales","Energy","2017"," 110,721 "
"New South Wales","Energy","2018"," 111,552 "
"New South Wales","Energy","2019"," 108,520 "
"New South Wales","Energy","2020"," 104,134 "
"New South Wales","Energy","2021"," 99,492 "
"New South Wales","Energy","2022"," 93,985 "
"New South Wales","Industrial Processes","1990"," 13,211 "
"New South Wales","Industrial Processes","1991"," 12,886 "
"New South Wales","Industrial Processes","1992"," 12,782 "
"New South Wales","Industrial Processes","1993"," 12,556 "
"New South Wales","Industrial Processes","1994"," 13,350 "
"New South Wales","Industrial Processes","1995"," 13,477 "
"New South Wales","Industrial Processes","1996"," 13,333 "
"New South Wales","Industrial Processes","1997"," 13,273 "
"New South Wales","Industrial Processes","1998"," 13,224 "
"New South Wales","Industrial Processes","1999"," 13,732 "
"New South Wales","Industrial Processes","2000"," 12,934 "
"New South Wales","Industrial Processes","2001"," 11,635 "
"New South Wales","Industrial Processes","2002"," 11,606 "
"New South Wales","Industrial Processes","2003"," 12,551 "
"New South Wales","Industrial Processes","2004"," 13,501 "
"New South Wales","Industrial Processes","2005"," 13,946 "
"New South Wales","Industrial Processes","2006"," 14,096 "
"New South Wales","Industrial Processes","2007"," 14,683 "
"New South Wales","Industrial Processes","2008"," 14,653 "
"New South Wales","Industrial Processes","2009"," 12,298 "
"New South Wales","Industrial Processes","2010"," 14,219 "
"New South Wales","Industrial Processes","2011"," 15,097 "
"New South Wales","Industrial Processes","2012"," 12,093 "
"New South Wales","Industrial Processes","2013"," 11,051 "
"New South Wales","Industrial Processes","2014"," 10,922 "
"New South Wales","Industrial Processes","2015"," 11,735 "
"New South Wales","Industrial Processes","2016"," 12,024 "
"New South Wales","Industrial Processes","2017"," 12,583 "
"New South Wales","Industrial Processes","2018"," 12,867 "
"New South Wales","Industrial Processes","2019"," 13,023 "
"New South Wales","Industrial Processes","2020"," 12,806 "
"New South Wales","Industrial Processes","2021"," 13,024 "
"New South Wales","Industrial Processes","2022"," 13,119 "
"New South Wales","Agriculture","1990"," 28,274 "
"New South Wales","Agriculture","1991"," 27,921 "
"New South Wales","Agriculture","1992"," 26,421 "
"New South Wales","Agriculture","1993"," 25,244 "
"New South Wales","Agriculture","1994"," 25,365 "
"New South Wales","Agriculture","1995"," 23,032 "
"New South Wales","Agriculture","1996"," 23,844 "
"New South Wales","Agriculture","1997"," 24,663 "
"New South Wales","Agriculture","1998"," 23,973 "
"New South Wales","Agriculture","1999"," 24,033 "
"New South Wales","Agriculture","2000"," 24,350 "
"New South Wales","Agriculture","2001"," 24,587 "
"New South Wales","Agriculture","2002"," 23,559 "
"New South Wales","Agriculture","2003"," 21,124 "
"New South Wales","Agriculture","2004"," 21,790 "
"New South Wales","Agriculture","2005"," 21,621 "
"New South Wales","Agriculture","2006"," 21,820 "
"New South Wales","Agriculture","2007"," 19,646 "
"New South Wales","Agriculture","2008"," 18,742 "
"New South Wales","Agriculture","2009"," 18,637 "
"New South Wales","Agriculture","2010"," 18,059 "
"New South Wales","Agriculture","2011"," 19,305 "
"New South Wales","Agriculture","2012"," 20,132 "
"New South Wales","Agriculture","2013"," 20,129 "
"New South Wales","Agriculture","2014"," 19,097 "
"New South Wales","Agriculture","2015"," 19,033 "
"New South Wales","Agriculture","2016"," 19,435 "
